RA,DEC
282.8643,56.9898
282.67468,34.60884
153.2534,40.72492
283.04382,46.420483
283.04428,54.548317
282.4313,41.842182
282.68356,33.354332
108.91226,36.873955
282.69815,38.672127
179.63832,39.885086
283.1987,56.68736
283.2237,57.035217
283.07047,52.953438
282.71387,30.277273
331.29877,31.735859
282.7143,40.562782
283.3672,57.15596
351.01874,33.230743
341.91132,33.931908
283.09097,43.823246
282.7408,34.00996
3.6615398,6.970761
261.6593,32.70462
264.451,40.41024
109.849655,47.215622
24.701767,6.154352
278.12704,40.50048
341.99426,33.50837
151.61813,40.91255
283.1074,49.70634
331.04913,14.00569
342.18436,33.63789
283.84918,57.040737
283.13327,47.03864
283.1347,41.89994
152.3623,40.113873
119.3472,69.12501
160.61581,56.443356
282.79477,36.765686
3.6872501,7.7530575
139.69121,71.958664
144.13467,29.772099
351.05896,9.593194
283.15097,46.362705
283.1548,47.889694
283.15802,43.2691
332.03595,17.82965
331.6346,9.605165
284.0864,57.56874
342.47913,33.13878
108.938835,29.79381
282.81558,32.385986
342.58865,33.825153
282.83167,36.31803
353.2259,33.77259
24.726664,3.976159
283.49612,39.655506
276.75372,32.51135
13.187485,39.084106
107.52939,78.153
207.6521,56.699364
255.79213,79.019165
283.2022,41.11544
144.18271,31.265406
160.76807,40.120327
282.88626,33.677456
264.49307,40.574142
144.15474,28.121746
330.88892,30.552515
339.15112,27.13597
282.8973,33.217213
18.50608,41.452328
331.3214,20.43673
33.232063,39.14773
160.61592,59.23328
143.53285,71.79497
283.56845,35.858063
23.099596,40.105095
261.68787,26.271332
270.6913,73.717155
282.9186,38.783695
109.64779,44.482853
261.69373,36.298336
109.930916,58.69327
282.93143,35.264824
330.91885,23.016975
185.90112,49.487064
282.94113,36.51073
283.25027,49.109306
283.25244,47.93772
282.95135,38.29146
13.322446,39.756184
283.6195,34.1021
283.7031,45.40126
282.97028,30.968044
207.69026,56.281
212.08748,42.493244
105.200615,37.17231
266.60376,79.77884
187.7647,56.09648
191.51045,60.684998
283.29022,42.318806
